arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
KTI,2026-02-26,14:10,MF8727,XiamenAir,3h 15m,"1400 miles, 2253 km",Boeing 737-800 Passenger,172,,Meal (none specific)
KTI,2026-02-26,14:40,TK52,Turkish Airlines,1h 25m,"325 miles, 523 km",Airbus A330-300,293,,Meal (none specific)
KTI,2026-02-26,14:55,QZ474,Indonesia AirAsia,3h 0m,"1220 miles, 1963 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,15:05,CZ6059,China Southern,3h 0m,"1003 miles, 1614 km",Airbus A320neo,166,,Meal (none specific)
KTI,2026-02-26,15:15,K6669,Air Cambodia,2h 50m,"1003 miles, 1614 km",Airbus A320,181,,Meal (none specific)
KTI,2026-02-26,15:20,ZA216,Sky Angkor Airlines,6h 0m,"2255 miles, 3628 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,15:25,QR970,Qatar Airways,0h 50m,"124 miles, 200 km",Boeing 777-300ER,358,BA 2353 /WB 1698 /AA 8259 /AY 6673 /LA 5296 /IB 6290,Meal (none specific)
KTI,2026-02-26,15:45,K6843,Air Cambodia,2h 35m,"393 miles, 632 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-26,16:15,CI863,China Airlines,3h 45m,"1434 miles, 2307 km",Boeing 737-800 Passenger,172,,Meal (none specific)
KTI,2026-02-26,16:30,FD606,Thai AirAsia,1h 15m,"341 miles, 549 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,16:35,EK348,Emirates,2h 5m,"697 miles, 1121 km",Boeing 777-300ER,355,,Meal (none specific)
KTI,2026-02-26,16:40,VN920,Vietnam Airlines,0h 45m,"124 miles, 200 km",Airbus A321,184,K6 3920 /AF 3322,Meal (none specific)
KTI,2026-02-26,16:45,KT162,Mahogany Air,1h 55m,"638 miles, 1027 km",Airbus A320,159,,Meal (none specific)
KTI,2026-02-26,17:05,MF895,XiamenAir,3h 10m,"1263 miles, 2032 km",Boeing 737MAX 8 Passenger,177,CZ 1825,Meal (none specific)
KTI,2026-02-26,17:15,KR910,Cambodia Airways,4h 25m,"1674 miles, 2693 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-26,17:30,MH762,Malaysia Airlines,1h 50m,"638 miles, 1027 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,KL 4085 /QR 4973,Meal (none specific)
KTI,2026-02-26,17:45,CX605,Cathay Pacific,2h 45m,"966 miles, 1554 km",Airbus A330-300,286,AY 5121,Meal (none specific)
KTI,2026-02-26,17:50,KR704,Cambodia Airways,1h 30m,"325 miles, 523 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-26,17:55,MU9627,China Eastern,3h 0m,"963 miles, 1549 km",Boeing 737-800 Passenger,168,,Meal (none specific)
KTI,2026-02-26,18:25,EY436,Etihad,6h 45m,"3426 miles, 5512 km",Airbus A321neo,172,,Meal (none specific)
KTI,2026-02-26,18:30,SQ158,Singapore Airlines,2h 0m,"697 miles, 1121 km",Airbus A350-900,259,AC 5870 /AI 8246 /NZ 3440 /VA 5478,Meal (none specific)
KTI,2026-02-26,18:50,KR766,Cambodia Airways,1h 55m,"486 miles, 782 km",Airbus A319,150,,Meal (none specific)
KTI,2026-02-26,19:00,VZ722,Vietjet Thailand,1h 15m,"325 miles, 523 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,19:20,KR782,Cambodia Airways,2h 5m,"638 miles, 1027 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-26,19:30,K6819,Air Cambodia,1h 0m,"124 miles, 200 km",ATR 72,70,VN 3851,Meal (none specific)
KTI,2026-02-26,19:35,TG584,Thai Airways,1h 20m,"325 miles, 523 km",Airbus A320,156,LH 9718,Meal (none specific)
KTI,2026-02-26,20:35,K6108,Air Cambodia,0h 50m,"147 miles, 237 km",ATR 72,70,VN 3805,Meal (none specific)
KTI,2026-02-26,20:55,9C8533,Spring Airlines,4h 45m,"1750 miles, 2816 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,21:05,PG935,Bangkok Airways,1h 15m,"325 miles, 523 km",Airbus A319,133,AF 4387 /AY 6879 /BA 2194 /EK 4566 /EY 7708 /GA 9584 /JL 5959 /KC 1935 /KL 3721 /LH 4618 /LX 4186 /LY 8465 /OS 8697 /QF 3466 /QR 4393 /TG 7025 /TK 4531,Meal (none specific)
KTI,2026-02-26,21:10,K6851,Air Cambodia,1h 55m,"687 miles, 1105 km",Airbus A320,181,VN 3867,Meal (none specific)
KTI,2026-02-26,21:35,9C7019,Spring Airlines,3h 25m,"1315 miles, 2116 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,21:40,KT168,Mahogany Air,1h 55m,"638 miles, 1027 km",Airbus A320,159,,Meal (none specific)
KTI,2026-02-26,22:00,KR936,Cambodia Airways,3h 0m,"1003 miles, 1614 km",Airbus A320,165,,Meal (none specific)
KTI,2026-02-26,22:25,K6110,Air Cambodia,0h 45m,"147 miles, 237 km",ATR 72,70,,Meal (none specific)
KTI,2026-02-26,22:45,ZA690,Sky Angkor Airlines,2h 35m,"1296 miles, 2085 km",Airbus A320,180,,Meal (none specific)
KTI,2026-02-26,22:45,KE689,Korean Air,5h 55m,"2255 miles, 3628 km",Boeing 737-800 (winglets) Passenger/BBJ2,138,DL 7871,Meal (none specific)
KTI,2026-02-26,22:55,K6681,Air Cambodia,2h 30m,"966 miles, 1554 km",Airbus A320,181,VN 3817,Meal (none specific)
KTI,2026-02-26,23:10,CA745,Air China,5h 15m,"2120 miles, 3411 km",Airbus A321neo,197,,Meal (none specific)
KTI,2026-02-26,23:15,MU759,China Eastern,4h 55m,"1750 miles, 2816 km",Boeing 737-200 Mixed Configuration,75,,Meal (none specific)
KTI,2026-02-26,23:20,OZ739,Asiana,5h 45m,"2255 miles, 3628 km",Airbus A321neo,187,UA 7300,Meal (none specific)
KTI,2026-02-26,23:30,CZ323,China Southern,2h 55m,"1003 miles, 1614 km",Airbus A320,158,,Meal (none specific)
KTI,2026-02-26,23:50,MU2579,China Eastern,4h 0m,"1476 miles, 2375 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
