arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
PVG,2026-02-15,00:05,5J678,Cebu Pacific,3h 45m,"1157 miles, 1862 km",Airbus A321neo,236,,Meal (none specific)
PVG,2026-02-15,00:05,FM9076,Shanghai Airlines,3h 0m,"917 miles, 1475 km",Boeing 737 Mixed Configuration,76,MU 8569,Meal (none specific)
PVG,2026-02-15,00:05,HO1162,Juneyao Airlines,2h 0m,"543 miles, 874 km",Airbus A320,159,3U 4480 /MF 7791 /MU 3685 /CZ 95 /ZH 5086,Meal (none specific)
PVG,2026-02-15,00:10,CZ3324,China Southern,2h 50m,"917 miles, 1475 km",Airbus A321neo,198,BA 2026,Meal (none specific)
PVG,2026-02-15,00:10,FM9136,Shanghai Airlines,2h 55m,"930 miles, 1496 km",Boeing 737-500 (winglets) Passenger,166,MU 8350,Meal (none specific)
PVG,2026-02-15,00:10,HO1062,Juneyao Airlines,2h 30m,"942 miles, 1516 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,00:10,Y87506,Suparna Airlines,3h 15m,"1052 miles, 1693 km",Boeing 737-800 Passenger,181,HU 4710,Meal (none specific)
PVG,2026-02-15,00:15,9C7092,Spring Airlines,2h 15m,"636 miles, 1023 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,00:15,FM9536,Shanghai Airlines,2h 55m,"1183 miles, 1903 km",Boeing 787-9,285,MU 8556,Meal (none specific)
PVG,2026-02-15,00:15,MU9992,China Eastern,2h 35m,"805 miles, 1295 km",Airbus A321,177,FM 3008,Meal (none specific)
PVG,2026-02-15,00:15,MU6478,China Eastern,2h 0m,"682 miles, 1097 km",Airbus A319,122,HO 5401 /MF 7566 /EY 5874,Meal (none specific)
PVG,2026-02-15,00:20,D7330,AirAsia X,5h 30m,"2371 miles, 3815 km",Airbus A330-300,358,,Meal (none specific)
PVG,2026-02-15,00:20,FM9344,Shanghai Airlines,1h 55m,"692 miles, 1113 km",Boeing 737-500 (winglets) Passenger,166,MU 8440,Meal (none specific)
PVG,2026-02-15,00:20,MM79,Peach Aviation,2h 55m,"817 miles, 1315 km",Airbus A320neo,188,,Meal (none specific)
PVG,2026-02-15,00:20,MU9020,China Eastern,2h 30m,"828 miles, 1332 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
PVG,2026-02-15,00:20,Y87520,Suparna Airlines,2h 0m,"537 miles, 864 km",Boeing 737-800 Passenger,181,HU 4702 /GS 5208,Meal (none specific)
PVG,2026-02-15,00:25,CA8576,Air China,3h 0m,"917 miles, 1475 km",Airbus A320,158,NZ 3742 /SC 5442,Meal (none specific)
PVG,2026-02-15,00:25,CA8538,Air China,3h 5m,"1227 miles, 1974 km",Airbus A320,158,SC 5482 /ZH 4824,Meal (none specific)
PVG,2026-02-15,00:25,CA8570,Air China,2h 15m,"828 miles, 1332 km",Airbus A321,180,SC 5454 /ZH 4848,Meal (none specific)
PVG,2026-02-15,00:25,MU5612,China Eastern,2h 55m,"1048 miles, 1686 km",Boeing 737-500 (winglets) Passenger,168,3U 5304 /MF 3890 /QF 4296,Meal (none specific)
PVG,2026-02-15,00:30,9C8892,Spring Airlines,4h 40m,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,00:30,HO1068,Juneyao Airlines,2h 35m,"881 miles, 1418 km",Airbus A320,159,CZ 39 /MF 7813 /MU 3629 /ZH 5030,Meal (none specific)
PVG,2026-02-15,00:30,HO1186,Juneyao Airlines,2h 30m,"734 miles, 1181 km",Airbus A320,159,3U 4494 /MF 7759 /MU 3699 /CZ 109 /ZH 5100,Meal (none specific)
PVG,2026-02-15,00:30,HO1024,Juneyao Airlines,2h 5m,"786 miles, 1265 km",Airbus A320,159,CA 3204 /MF 7799 /MU 3609 /CZ 19 /ZH 5010,Meal (none specific)
PVG,2026-02-15,00:30,MU6748,China Eastern,2h 50m,"1048 miles, 1686 km",Airbus A321,177,,Meal (none specific)
PVG,2026-02-15,00:30,Y87510,Suparna Airlines,2h 35m,"965 miles, 1553 km",Boeing 737-800 Passenger,181,HU 4712 /GS 5214,Meal (none specific)
PVG,2026-02-15,00:35,FM856,Shanghai Airlines,4h 30m,"1809 miles, 2911 km",Boeing 737 Mixed Configuration,76,MU 8612,Meal (none specific)
PVG,2026-02-15,00:35,HO2192,Juneyao Airlines,2h 25m,"846 miles, 1361 km",Airbus A320neo,164,,Meal (none specific)
PVG,2026-02-15,00:35,MU7643,China Eastern,3h 15m,"1489 miles, 2396 km",Boeing 737 Passenger,168,,Meal (none specific)
PVG,2026-02-15,00:35,MU6330,China Eastern,2h 35m,"990 miles, 1593 km",Airbus A320neo,158,HO 5453 /KL 8791 /EY 5878,Meal (none specific)
PVG,2026-02-15,00:40,MU7514,China Eastern,2h 35m,"784 miles, 1261 km",Airbus A320,158,,Meal (none specific)
PVG,2026-02-15,00:45,CZ3832,China Southern,2h 30m,"751 miles, 1208 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,00:55,MU5819,China Eastern,2h 40m,"1227 miles, 1974 km",Boeing 737-200 Mixed Configuration,75,3U 5361 /MF 7335,Meal (none specific)
PVG,2026-02-15,01:00,MU9705,China Eastern,3h 5m,"1499 miles, 2412 km",Boeing 737 Passenger,168,HO 5563 /MF 2319 /EY 6005,Meal (none specific)
PVG,2026-02-15,01:00,MU5202,China Eastern,2h 10m,"887 miles, 1427 km",Airbus A320neo,158,HO 5479 /3U 5200,Meal (none specific)
PVG,2026-02-15,01:00,VJ3900,VietJet,3h 55m,"1715 miles, 2759 km",Airbus A321,214,H1 4354,Meal (none specific)
PVG,2026-02-15,01:05,FM7284,Shanghai Airlines,4h 20m,"1790 miles, 2880 km",Boeing 737-500 (winglets) Passenger,166,MU 8312,Meal (none specific)
PVG,2026-02-15,01:05,MH386,Malaysia Airlines,5h 30m,"2371 miles, 3815 km",Airbus A330-300,290,CZ 708,Meal (none specific)
PVG,2026-02-15,01:10,9C6190,Spring Airlines,3h 15m,"1048 miles, 1686 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,01:10,IJ1,Spring Japan,3h 50m,"1123 miles, 1807 km",Boeing 737 Passenger,189,,Meal (none specific)
PVG,2026-02-15,01:10,MU5268,China Eastern,2h 40m,"1049 miles, 1688 km",Airbus A320neo,158,MF 3650 /HO 5427 /EY 6014,Meal (none specific)
PVG,2026-02-15,01:15,FM9150,Shanghai Airlines,2h 30m,"720 miles, 1158 km",Boeing 737 Passenger,166,MU 8356,Meal (none specific)
PVG,2026-02-15,01:15,NH967,ANA,3h 35m,"1085 miles, 1746 km",Boeing 787-9,249,CA 6672 /HO 3136,Meal (none specific)
PVG,2026-02-15,01:15,VJ7238,VietJet,2h 50m,"1209 miles, 1945 km",Airbus A320,180,H1 5102,Meal (none specific)
PVG,2026-02-15,01:20,9C7752,Spring Airlines,2h 50m,"824 miles, 1326 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,01:20,FM840,Shanghai Airlines,4h 25m,"1809 miles, 2911 km",Boeing 737 Mixed Configuration,76,MU 8610,Meal (none specific)
PVG,2026-02-15,01:20,FM7318,Shanghai Airlines,3h 10m,"1446 miles, 2327 km",Boeing 737 Passenger,166,,Meal (none specific)
PVG,2026-02-15,01:30,9C8802,Spring Airlines,3h 0m,"1183 miles, 1903 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,01:30,MU6704,China Eastern,4h 40m,"2119 miles, 3409 km",Airbus A320,158,,Meal (none specific)
PVG,2026-02-15,01:30,SL926,Thai Lion Air,4h 5m,"1804 miles, 2903 km",Boeing 737-900 Passenger,176,,Meal (none specific)
PVG,2026-02-15,01:30,VZ3524,Vietjet Thailand,4h 25m,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,01:35,FM866,Shanghai Airlines,5h 30m,"2371 miles, 3815 km",Boeing 737 Mixed Configuration,76,MU 8652,Meal (none specific)
PVG,2026-02-15,01:40,ZE871,Eastar Jet,2h 10m,"513 miles, 825 km",Boeing 737-800 Passenger,167,,Meal (none specific)
PVG,2026-02-15,02:15,S76325,S7 Airlines,4h 20m,"1715 miles, 2759 km",Boeing 737-800 (winglets) Passenger/BBJ2,176,,Meal (none specific)
PVG,2026-02-15,02:20,AK1516,AirAsia,4h 25m,"1790 miles, 2880 km",Airbus A320neo,186,,Meal (none specific)
PVG,2026-02-15,02:55,HO1362,Juneyao Airlines,4h 55m,"1879 miles, 3023 km",Airbus A320neo,164,,Meal (none specific)
PVG,2026-02-15,03:20,9C8550,Spring Airlines,5h 5m,"2377 miles, 3825 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,03:30,MU218,China Eastern,11h 45m,"5785 miles, 9308 km",Airbus A350-900,288,,Meal (none specific)
PVG,2026-02-15,04:00,9C7546,Spring Airlines,4h 5m,"1715 miles, 2759 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,04:10,MU7260,China Eastern,3h 50m,"1669 miles, 2685 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,04:10,MU564,China Eastern,5h 45m,"2680 miles, 4312 km",Airbus A330-200,234,,Meal (none specific)
PVG,2026-02-15,04:10,MU566,China Eastern,5h 10m,"2377 miles, 3825 km",Boeing 777-300ER,316,QF 4096,Meal (none specific)
PVG,2026-02-15,04:30,HO1322,Juneyao Airlines,4h 55m,"2207 miles, 3551 km",Airbus A320neo,164,MU 3927,Meal (none specific)
PVG,2026-02-15,04:35,HO1606,Juneyao Airlines,5h 10m,"2377 miles, 3825 km",Airbus A321neo,207,MU 3984,Meal (none specific)
PVG,2026-02-15,05:00,9C6516,Spring Airlines,5h 20m,"2371 miles, 3815 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,05:00,FM858,Shanghai Airlines,4h 55m,"2207 miles, 3551 km",Boeing 737 Mixed Configuration,76,MU 8648,Meal (none specific)
PVG,2026-02-15,05:00,FM7282,Shanghai Airlines,5h 30m,"2207 miles, 3551 km",Boeing 737-500 (winglets) Passenger,166,MU 8348,Meal (none specific)
PVG,2026-02-15,05:00,MM877,Peach Aviation,3h 50m,"1085 miles, 1746 km",Airbus A320neo,188,,Meal (none specific)
PVG,2026-02-15,05:00,MU736,China Eastern,10h 30m,"4915 miles, 7908 km",Airbus A350-900,288,QF 4047,Meal (none specific)
PVG,2026-02-15,05:00,MU786,China Eastern,11h 30m,"5575 miles, 8970 km",Airbus A350-900,288,,Meal (none specific)
PVG,2026-02-15,05:10,HO1658,Juneyao Airlines,9h 50m,"5345 miles, 8600 km",Boeing 787-9,324,MU 3941 /A3 1901,Meal (none specific)
PVG,2026-02-15,05:15,HO1366,Juneyao Airlines,5h 10m,"2279 miles, 3667 km",Airbus A320neo,164,,Meal (none specific)
PVG,2026-02-15,05:20,MU760,China Eastern,4h 5m,"1750 miles, 2816 km",Boeing 737-200 Mixed Configuration,75,,Meal (none specific)
PVG,2026-02-15,05:25,FM870,Shanghai Airlines,10h 55m,"5226 miles, 8409 km",Boeing 787-9,285,MU 8640,Meal (none specific)
PVG,2026-02-15,05:25,HO1370,Juneyao Airlines,5h 0m,"2207 miles, 3551 km",Airbus A320neo,164,MU 3978,Meal (none specific)
PVG,2026-02-15,05:25,MU780,China Eastern,12h 25m,"5855 miles, 9421 km",Boeing 777-300ER,316,LA 8745,Meal (none specific)
PVG,2026-02-15,05:25,MU7066,China Eastern,10h 25m,"4568 miles, 7350 km",Airbus A330-200,234,AF 4405,Meal (none specific)
PVG,2026-02-15,05:30,HO1328,Juneyao Airlines,4h 5m,"1715 miles, 2759 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,05:30,MU284,China Eastern,3h 25m,"1516 miles, 2439 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,05:30,XJ760,Thai AirAsia X,4h 15m,"1804 miles, 2903 km",Airbus A330-300,328,,Meal (none specific)
PVG,2026-02-15,05:35,MU224,China Eastern,10h 35m,"5227 miles, 8410 km",Airbus A350-900,288,,Meal (none specific)
PVG,2026-02-15,05:35,MU6018,China Eastern,6h 45m,"3185 miles, 5125 km",Airbus A330-200,234,,Meal (none specific)
PVG,2026-02-15,05:35,MU212,China Eastern,3h 30m,"1157 miles, 1862 km",Airbus A321,177,,Meal (none specific)
PVG,2026-02-15,05:40,MU544,China Eastern,5h 15m,"2377 miles, 3825 km",Airbus A330-200,234,QF 4092 /GA 9027,Meal (none specific)
PVG,2026-02-15,05:45,MU236,China Eastern,7h 40m,"3660 miles, 5889 km",Airbus A330-300,290,,Meal (none specific)
PVG,2026-02-15,05:50,9C8670,Spring Airlines,4h 55m,"2207 miles, 3551 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,05:50,CA968,Air China,11h 20m,"5712 miles, 9191 km",Airbus A350-900,312,,Meal (none specific)
PVG,2026-02-15,05:55,FM868,Shanghai Airlines,4h 25m,"1790 miles, 2880 km",Boeing 737-500 (winglets) Passenger,166,MU 8622,Meal (none specific)
PVG,2026-02-15,05:55,FM832,Shanghai Airlines,4h 50m,"2207 miles, 3551 km",Boeing 737 Mixed Configuration,76,MU 8618,Meal (none specific)
PVG,2026-02-15,05:55,MU740,China Eastern,10h 25m,"5010 miles, 8061 km",Boeing 787-9,296,QF 4035,Meal (none specific)
PVG,2026-02-15,06:00,HO1330,Juneyao Airlines,3h 0m,"1209 miles, 1945 km",Airbus A320,159,,Meal (none specific)
PVG,2026-02-15,06:00,HO1354,Juneyao Airlines,5h 35m,"2371 miles, 3815 km",Airbus A320neo,164,,Meal (none specific)
PVG,2026-02-15,06:05,MU202,China Eastern,11h 35m,"5780 miles, 9300 km",Boeing 777-300ER,316,,Meal (none specific)
PVG,2026-02-15,06:10,FM7302,Shanghai Airlines,4h 15m,"1809 miles, 2911 km",Boeing 737-500 (winglets) Passenger,166,MU 8464,Meal (none specific)
PVG,2026-02-15,06:20,MU710,China Eastern,12h 50m,"6416 miles, 10323 km",Airbus A350-900,288,LA 8911 /AR 7892,Meal (none specific)
PVG,2026-02-15,06:25,CA840,Air China,12h 20m,"6162 miles, 9915 km",Airbus A350-900,312,TP 8772 /ZH 1990,Meal (none specific)
PVG,2026-02-15,06:25,CA848,Air China,11h 20m,"5780 miles, 9300 km",Airbus A350-900,312,,Meal (none specific)
PVG,2026-02-15,06:25,MU244,China Eastern,11h 15m,"5712 miles, 9191 km",Airbus A350-900,288,,Meal (none specific)
PVG,2026-02-15,06:25,TG662,Thai Airways,4h 15m,"1809 miles, 2911 km",Airbus A350-900,327,PG 4839,Meal (none specific)
PVG,2026-02-15,06:30,SQ826,Singapore Airlines,5h 15m,"2377 miles, 3825 km",Airbus A350-900,259,CA 5287 /VA 5746,Meal (none specific)
PVG,2026-02-15,06:40,9C8756,Spring Airlines,4h 25m,"1809 miles, 2911 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,06:40,MU266,China Eastern,7h 45m,"4028 miles, 6481 km",Boeing 787-9,296,SV 6827,Meal (none specific)
PVG,2026-02-15,06:40,MU5076,China Eastern,2h 55m,"1209 miles, 1945 km",Boeing 737-500 (winglets) Passenger,168,VN 3520,Meal (none specific)
PVG,2026-02-15,06:50,9C7322,Spring Airlines,4h 10m,"1750 miles, 2816 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,06:50,MU554,China Eastern,11h 25m,"5789 miles, 9315 km",Boeing 777-300ER,316,,Meal (none specific)
PVG,2026-02-15,06:50,MU5024,China Eastern,4h 10m,"1454 miles, 2339 km",Boeing 737-500 (winglets) Passenger,168,,Meal (none specific)
PVG,2026-02-15,06:55,9C8594,Spring Airlines,4h 25m,"1790 miles, 2880 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,06:55,HO1358,Juneyao Airlines,4h 5m,"1809 miles, 2911 km",Airbus A320,159,MU 3976,Meal (none specific)
PVG,2026-02-15,06:55,MU248,China Eastern,9h 10m,"4279 miles, 6885 km",Airbus A330-300,290,,Meal (none specific)
PVG,2026-02-15,07:05,FM862,Shanghai Airlines,5h 10m,"2371 miles, 3815 km",Boeing 737-500 (winglets) Passenger,166,MU 8584,Meal (none specific)
PVG,2026-02-15,07:05,NZ289,Air New Zealand,12h 10m,"5855 miles, 9421 km",Boeing 787-9,274,CA 5102 /LH 7168,Meal (none specific)
PVG,2026-02-15,07:10,FM850,Shanghai Airlines,4h 15m,"1809 miles, 2911 km",Boeing 737-500 (winglets) Passenger,166,MU 8352,Meal (none specific)
PVG,2026-02-15,07:10,GA894,Garuda Indonesia,6h 5m,"2777 miles, 4468 km",Airbus A330-300,290,MU 8998,Meal (none specific)
PVG,2026-02-15,07:10,MU5030,China Eastern,6h 15m,"2806 miles, 4515 km",Airbus A330-300,290,GA 9300,Meal (none specific)
PVG,2026-02-15,07:10,MU282,China Eastern,4h 0m,"1715 miles, 2759 km",Airbus A330-200,234,VN 3522,Meal (none specific)
PVG,2026-02-15,07:15,MU5070,China Eastern,6h 30m,"2777 miles, 4468 km",Airbus A330-300,290,GA 9302,Meal (none specific)
PVG,2026-02-15,07:15,MU7286,China Eastern,3h 40m,"1715 miles, 2759 km",Airbus A321,177,,Meal (none specific)
PVG,2026-02-15,07:25,MU220,China Eastern,10h 50m,"5533 miles, 8903 km",Boeing 777-300ER,316,,Meal (none specific)
PVG,2026-02-15,07:40,CA806,Air China,4h 10m,"1809 miles, 2911 km",Airbus A320,158,,Meal (none specific)
PVG,2026-02-15,07:40,HO1608,Juneyao Airlines,9h 0m,"4618 miles, 7430 km",Boeing 787-9,324,MU 3943,Meal (none specific)
PVG,2026-02-15,07:45,JU986,Air Serbia,11h 15m,"5272 miles, 8483 km",Airbus A330-200,280,,Meal (none specific)
PVG,2026-02-15,07:50,FM9526,Shanghai Airlines,1h 20m,"232 miles, 373 km",Boeing 737 Mixed Configuration,76,MU 8544 /KN 3056,Meal (none specific)
PVG,2026-02-15,08:05,9C8574,Spring Airlines,1h 35m,"321 miles, 516 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,08:05,9C6108,Spring Airlines,2h 25m,"912 miles, 1467 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,08:10,MU9028,China Eastern,1h 15m,"394 miles, 634 km",Airbus A320neo,158,HO 5428 /MF 2306 /QF 4064 /KL 8827 /DL 6459 /EY 5858 /AF 5278,Meal (none specific)
PVG,2026-02-15,08:10,MU7238,China Eastern,4h 20m,"1852 miles, 2980 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,08:20,MU7236,China Eastern,3h 0m,"1209 miles, 1945 km",Airbus A321,177,,Meal (none specific)
PVG,2026-02-15,08:25,MU2881,China Eastern,1h 0m,"177 miles, 285 km",Airbus A320,158,HO 5498 /MF 3457 /QF 4072 /KL 8797 /DL 6393 /EY 5921 /AF 5276,Meal (none specific)
PVG,2026-02-15,08:40,LX188,SWISS,12h 20m,"5642 miles, 9078 km",Airbus A340-300,215,,Meal (none specific)
PVG,2026-02-15,08:45,MU5534,China Eastern,1h 35m,"475 miles, 764 km",Airbus A320neo,158,MF 3844 /KL 8820 /DL 6463 /EY 5727 /AF 5264,Meal (none specific)
PVG,2026-02-15,08:45,MU5544,China Eastern,1h 45m,"435 miles, 700 km",Airbus A320neo,158,HO 5595 /MF 3854 /KL 8793 /EY 6024 /AF 5258,Meal (none specific)
PVG,2026-02-15,08:50,MU5542,China Eastern,1h 30m,"384 miles, 618 km",Airbus A320,158,HO 5733 /MF 3852 /KL 8823 /EY 5836 /AF 5225,Meal (none specific)
PVG,2026-02-15,08:50,MU6582,China Eastern,1h 20m,"290 miles, 467 km",Airbus A320neo,158,HO 5410 /MF 7598 /KL 8748 /DL 6475 /EY 5822 /AF 5275,Meal (none specific)
PVG,2026-02-15,08:50,MU6376,China Eastern,0h 50m,"102 miles, 164 km",Airbus A319,122,AF 9473,Meal (none specific)
PVG,2026-02-15,08:55,MU6356,China Eastern,2h 35m,"1052 miles, 1693 km",Airbus A320neo,158,MF 7532 /HO 5414 /EY 5842 /AF 7866,Meal (none specific)
PVG,2026-02-15,08:55,MU592,China Eastern,8h 45m,"4279 miles, 6885 km",Airbus A330-300,290,,Meal (none specific)
PVG,2026-02-15,08:55,MU5522,China Eastern,1h 35m,"364 miles, 586 km",Airbus A320neo,158,HO 5579 /MF 3834 /KL 8746 /EY 5968 /AF 5267,Meal (none specific)
PVG,2026-02-15,09:10,CZ6521,China Southern,2h 10m,"543 miles, 874 km",Airbus A321,188,,Meal (none specific)
PVG,2026-02-15,09:10,FM7306,Shanghai Airlines,4h 40m,"2207 miles, 3551 km",Boeing 737-200 Mixed Configuration,75,MU 8326,Meal (none specific)
PVG,2026-02-15,09:15,AQ1005,9 Air,2h 25m,"751 miles, 1208 km",Boeing 737-800 Passenger,167,,Meal (none specific)
PVG,2026-02-15,09:15,MU5100,China Eastern,2h 15m,"685 miles, 1102 km",Airbus A320neo,158,HO 5448 /3U 5164 /MF 3516 /DL 6381 /EY 5925,Meal (none specific)
PVG,2026-02-15,09:15,MU2194,China Eastern,2h 15m,"794 miles, 1278 km",Airbus A320,158,3U 5016 /MF 3062 /KL 8801 /EY 5747 /AF 4411,Meal (none specific)
PVG,2026-02-15,09:15,Y87565,Suparna Airlines,2h 0m,"769 miles, 1237 km",Boeing 737-800 Passenger,181,HU 4741,Meal (none specific)
PVG,2026-02-15,09:20,HU7131,Hainan Airlines,2h 15m,"751 miles, 1208 km",Boeing 737-800 Passenger,179,,Meal (none specific)
PVG,2026-02-15,09:25,FM9322,Shanghai Airlines,1h 50m,"537 miles, 864 km",Boeing 737-200 Mixed Configuration,75,MU 8424,Meal (none specific)
PVG,2026-02-15,09:25,KL895,KLM,12h 15m,"5566 miles, 8956 km",Boeing 777-200 / 200ER,320,MU 1552 /AF 8447,Meal (none specific)
PVG,2026-02-15,09:25,MU5662,China Eastern,2h 0m,"543 miles, 874 km",Airbus A320,158,HO 5506 /MF 3928 /KL 8736 /DL 6418 /EY 5717,Meal (none specific)
PVG,2026-02-15,09:30,3U8971,Sichuan Airlines,2h 20m,"912 miles, 1467 km",Airbus A320,165,EU 7415 /MF 5653 /MU 3559 /CZ 9229 /HO 5934 /QW 6175,Meal (none specific)
PVG,2026-02-15,09:30,MU5390,China Eastern,2h 0m,"828 miles, 1332 km",Airbus A320neo,158,HO 5435 /MF 3752 /KL 8694 /EY 5891,Meal (none specific)
PVG,2026-02-15,09:30,MU7258,China Eastern,3h 50m,"1715 miles, 2759 km",Airbus A320neo,158,,Meal (none specific)
PVG,2026-02-15,09:35,FM9080,Shanghai Airlines,2h 35m,"917 miles, 1475 km",Boeing 737-500 (winglets) Passenger,166,MU 8316,Meal (none specific)
PVG,2026-02-15,09:35,FM9460,Shanghai Airlines,2h 20m,"965 miles, 1553 km",Boeing 737-500 (winglets) Passenger,166,MU 8510,Meal (none specific)
PVG,2026-02-15,09:35,MU2402,China Eastern,2h 5m,"695 miles, 1118 km",Boeing 737-200 Mixed Configuration,75,HO 5636 /MF 3206 /KL 8787 /DL 6434 /EY 5986 /AF 5277,Meal (none specific)
PVG,2026-02-15,09:40,KE2071,Korean Air,2h 5m,"501 miles, 806 km",Boeing 737-900 Passenger,188,FM 8760 /MU 8954,Meal (none specific)
PVG,2026-02-15,09:40,MU5398,China Eastern,3h 10m,"1183 miles, 1903 km",Airbus A330-200,234,MF 3758 /KL 8829 /EY 6009 /AF 7861,Meal (none specific)
PVG,2026-02-15,09:40,MU2503,China Eastern,1h 35m,"451 miles, 726 km",Boeing 737-500 (winglets) Passenger,168,MF 3271 /KL 8710 /DL 6481 /EY 5998 /AF 5211,Meal (none specific)
PVG,2026-02-15,09:45,KE881,Korean Air,2h 20m,"513 miles, 825 km",Boeing 787-10,325,FM 8752 /MF 9086 /MU 8930,Meal (none specific)
PVG,2026-02-15,09:45,MF8873,XiamenAir,3h 0m,"1048 miles, 1686 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,09:45,MU5186,China Eastern,2h 15m,"655 miles, 1054 km",Airbus A330-200,234,KN 6526 /MF 3592 /KL 8825 /EY 5732,Meal (none specific)
PVG,2026-02-15,09:45,SU208,Aeroflot,9h 0m,"4279 miles, 6885 km",Boeing 777-300ER,403,,Meal (none specific)
PVG,2026-02-15,09:50,3U3311,Sichuan Airlines,3h 0m,"1048 miles, 1686 km",Airbus A321,194,CZ 4691 /EU 7053 /G5 8615 /HO 5782 /MF 5109,Meal (none specific)
PVG,2026-02-15,09:50,9C7636,Spring Airlines,2h 35m,"734 miles, 1181 km",Airbus A320,180,,Meal (none specific)
PVG,2026-02-15,09:50,FM9398,Shanghai Airlines,2h 10m,"556 miles, 895 km",Boeing 737-500 (winglets) Passenger,166,MU 8474 /DL 6559,Meal (none specific)
PVG,2026-02-15,09:50,MU5442,China Eastern,2h 50m,"1036 miles, 1667 km",Airbus A320,158,KN 6550 /HO 5651 /3U 5280 /MF 3796 /EY 6048 /AF 9291,Meal (none specific)
PVG,2026-02-15,09:50,MU5642,China Eastern,1h 50m,"511 miles, 822 km",Airbus A320,158,MF 3916 /KL 8720 /DL 6386 /EY 5752 /AF 9475,Meal (none specific)
PVG,2026-02-15,09:50,PR338,PAL,3h 45m,"1157 miles, 1862 km",Airbus A321,190,,Meal (none specific)
PVG,2026-02-15,09:55,CA8566,Air China,2h 20m,"751 miles, 1208 km",Airbus A321,180,SC 5452 /ZH 4844,Meal (none specific)
PVG,2026-02-15,09:55,MU5326,China Eastern,2h 25m,"751 miles, 1208 km",Airbus A320neo,158,HO 5408 /MF 3696 /KL 8818 /SV 6924 /EY 5723 /AF 9297,Meal (none specific)
PVG,2026-02-15,09:55,MU5424,China Eastern,2h 30m,"912 miles, 1467 km",Airbus A320,158,G5 8521 /MF 3782 /QF 4038 /KL 8727 /EY 5772 /AF 5260,Meal (none specific)
PVG,2026-02-15,09:55,MU6358,China Eastern,2h 30m,"875 miles, 1408 km",Airbus A320,158,HO 5709 /MF 7534 /EY 5817,Meal (none specific)
PVG,2026-02-15,10:00,B7502,UNI Air,2h 0m,"422 miles, 679 km",Airbus A321,193,BR 2400,Meal (none specific)
PVG,2026-02-15,10:00,CZ3823,China Southern,2h 0m,"451 miles, 726 km",Boeing 737-800 Passenger,172,,Meal (none specific)
PVG,2026-02-15,10:00,FM9120,Shanghai Airlines,2h 30m,"608 miles, 978 km",Boeing 737-500 (winglets) Passenger,166,MU 8572 /DL 6534,Meal (none specific)
PVG,2026-02-15,10:00,HU7721,Hainan Airlines,2h 20m,"769 miles, 1237 km",Boeing 787-9,290,,Meal (none specific)
PVG,2026-02-15,10:00,MU5052,China Eastern,2h 5m,"513 miles, 825 km",Airbus A330-300,290,FM 3070 /KE 5879,Meal (none specific)
PVG,2026-02-15,10:00,MU9016,China Eastern,2h 10m,"619 miles, 996 km",Airbus A320,158,HO 5738 /MF 2302,Meal (none specific)
PVG,2026-02-15,10:05,CA8357,Air China,2h 25m,"685 miles, 1102 km",Airbus A321,180,,Meal (none specific)
PVG,2026-02-15,10:05,KN2918,China United Airlines,2h 5m,"723 miles, 1163 km",Boeing 737 Passenger,178,MU 8040,Meal (none specific)
PVG,2026-02-15,10:05,MU5332,China Eastern,2h 35m,"769 miles, 1237 km",Airbus A321,177,MF 3702 /KL 8699 /DL 6403 /EY 5720 /AF 5268,Meal (none specific)
PVG,2026-02-15,10:05,OZ361,Asiana,2h 0m,"513 miles, 825 km",Boeing 777-200 / 200ER,301,HO 3105,Meal (none specific)
PVG,2026-02-15,10:05,SC4601,Shandong Airlines,1h 35m,"364 miles, 586 km",Boeing 737-800 Passenger,167,ZH 2627 /G5 8333 /CA 4727 /TV 3137,Meal (none specific)
