date,day_name,airport,direction,time,flight,airline,duration,time_range,distance,aircraft,seats,codeshare,meals,uid,airline_source,page_date_verified,scraped_at
25/2/2026,Wednesday,KKC,arrival,07:55,TG40,Thai Airways,1h 0m,06:55 - 07:55,"236 miles, 380 km",Airbus A320,156,TK 8488,Meal (none specific),260225_TG40_06550755,text,True,2026-02-14T16:18:27.280649
25/2/2026,Wednesday,KKC,arrival,08:10,VZ210,Vietjet Thailand,1h 5m,07:05 - 08:10,"236 miles, 380 km",Airbus A320,180,,Meal (none specific),260225_VZ210_07050810,text,True,2026-02-14T16:18:27.547655
25/2/2026,Wednesday,KKC,arrival,08:25,FD5502,Thai AirAsia,1h 5m,07:20 - 08:25,"299 miles, 481 km",Airbus A320,180,,Meal (none specific),260225_FD5502_07200825,text,True,2026-02-14T16:18:27.795726
25/2/2026,Wednesday,KKC,arrival,08:40,FD3250,Thai AirAsia,1h 15m,07:25 - 08:40,"229 miles, 368 km",Airbus A321neo,236,,Meal (none specific),260225_FD3250_07250840,text,True,2026-02-14T16:18:28.026708
25/2/2026,Wednesday,KKC,arrival,09:10,SL642,Thai Lion Air,1h 10m,08:00 - 09:10,"229 miles, 368 km",Boeing 737-800 Passenger,167,,Meal (none specific),260225_SL642_08000910,text,True,2026-02-14T16:18:28.291302
25/2/2026,Wednesday,KKC,arrival,11:25,TG42,Thai Airways,1h 0m,10:25 - 11:25,"236 miles, 380 km",Airbus A320,156,TK 9261,Meal (none specific),260225_TG42_10251125,text,True,2026-02-14T16:18:28.520149
25/2/2026,Wednesday,KKC,arrival,11:50,FD3248,Thai AirAsia,1h 5m,10:45 - 11:50,"229 miles, 368 km",Airbus A320,180,,Meal (none specific),260225_FD3248_10451150,text,True,2026-02-14T16:18:28.789739
25/2/2026,Wednesday,KKC,arrival,12:10,SL644,Thai Lion Air,1h 0m,11:10 - 12:10,"229 miles, 368 km",Boeing 737-800 Passenger,167,,Meal (none specific),260225_SL644_11101210,text,True,2026-02-14T16:18:29.050570
25/2/2026,Wednesday,KKC,arrival,12:30,FD4501,Thai AirAsia,1h 20m,11:10 - 12:30,"236 miles, 380 km",Airbus A320,180,,Meal (none specific),260225_FD4501_11101230,text,True,2026-02-14T16:18:29.317042
25/2/2026,Wednesday,KKC,arrival,13:30,FD3254,Thai AirAsia,1h 10m,12:20 - 13:30,"229 miles, 368 km",Airbus A321neo,236,,Meal (none specific),260225_FD3254_12201330,text,True,2026-02-14T16:18:29.583761
25/2/2026,Wednesday,KKC,arrival,15:10,TG44,Thai Airways,1h 0m,14:10 - 15:10,"236 miles, 380 km",Airbus A320,156,GF 6344 /MH 5868 /TK 9262,Meal (none specific),260225_TG44_14101510,text,True,2026-02-14T16:18:29.797794
25/2/2026,Wednesday,KKC,arrival,15:50,FD3260,Thai AirAsia,1h 5m,14:45 - 15:50,"229 miles, 368 km",Airbus A320,180,,Meal (none specific),260225_FD3260_14451550,text,True,2026-02-14T16:18:30.017985
25/2/2026,Wednesday,KKC,arrival,17:05,FD3602,Thai AirAsia,1h 45m,15:20 - 17:05,"654 miles, 1052 km",Airbus A320,180,,Meal (none specific),260225_FD3602_15201705,text,True,2026-02-14T16:18:30.230274
25/2/2026,Wednesday,KKC,arrival,18:30,VZ214,Vietjet Thailand,1h 5m,17:25 - 18:30,"236 miles, 380 km",Airbus A320,180,,Meal (none specific),260225_VZ214_17251830,text,True,2026-02-14T16:18:30.429931
25/2/2026,Wednesday,KKC,arrival,18:50,FD3256,Thai AirAsia,1h 5m,17:45 - 18:50,"229 miles, 368 km",Airbus A320,180,,Meal (none specific),260225_FD3256_17451850,text,True,2026-02-14T16:18:30.646783
25/2/2026,Wednesday,KKC,arrival,20:00,FD3252,Thai AirAsia,1h 5m,18:55 - 20:00,"229 miles, 368 km",Airbus A320,180,,Meal (none specific),260225_FD3252_18552000,text,True,2026-02-14T16:18:30.891073
25/2/2026,Wednesday,KKC,arrival,20:20,FD4503,Thai AirAsia,1h 10m,19:10 - 20:20,"236 miles, 380 km",Airbus A320,180,,Meal (none specific),260225_FD4503_19102020,text,True,2026-02-14T16:18:31.199360
25/2/2026,Wednesday,KKC,arrival,20:40,TG46,Thai Airways,1h 0m,19:40 - 20:40,"236 miles, 380 km",Airbus A320,156,MH 5869 /TK 9263,Meal (none specific),260225_TG46_19402040,text,True,2026-02-14T16:18:31.518762
